Gene Set	Condition	evidence_source	Source	biomarker	best_biomarker_role	assessed_biomarker_entity																																																																																																																																																																										
FoundationOne CDx	Breast Carcinoma	32393302	PubMed	FoundationOne CDx molecular profiling for DNA damage repair in {gene}	diagnostic_biomarker	ERCC2	ERCC3	ERCC4	ERCC5	MLH1	MSH2	MSH6	PMS1	PMS2	BRCA2	BRIP1	FANCA	FANCC	PALB3	RAD51C	BLM	BRCA1	MRE11A	NBN	RAD50	RAD51	RAD51B	RAD51D	RAD52	RAD54L	ATM	ATR	CHECK1	CHEK2	MDC1	POLE	MUTYH	PARP1	RECQL4	EGFR	BRAF	ALK	ROS1	ERBB2	MET	RET	ESR1	PIK3CA	PALB2																																																																																																																															
Protein Biomarkers for Cardiovascular Events	Coronary artery disease	35595781	PubMed	Plasma concentration changes in {gene}	prognostic_biomarker	NPPB	BNP	TIMD4	FGF23	GDF15	PSPD	SPON1																																																																																																																																																																				
Therapeutic Hypothermia Effects	Developmental and epileptic encephalopathy 101	34795631	PubMed	Therapeutic hypothermia affected serum biomarker of {gene}	prognostic_biomarker	MAPT	VEGF	GFAP	IL10																																																																																																																																																																							
Circulating Biomarkers	Rheumatoid Arthritis	34869664	PubMed	Changes in elevated expression levels of {gene}	prognostic_biomarker, diagnostic_biomarker	KIM1	BMP9	TNNT1	NPPB	SLAMF7	IL4RA	THBS2	AGRP	CD4	PRELP	PTX3	CTSL1	ADM	PGF	TNFRSF11A	TEK	SPON2																																																																																																																																																										
One-carbon metabolism biomarkers	Colorectal Cancer	29694444	PubMed	One-carbon metabolism panel including {gene}	prognostic_biomarker	MTHFR	MTHFD1	MTRR	TCN2	CTH	MTR	CBS	DHFR	BHMT	TYMS	SLC19A1	SHMT1	FOLR1																																																																																																																																																														
Heart Failure and CRAS	Iron deficiency anemia	34816550	PubMed	Differentially expressed CRAS marker {gene}	prognostic_biomarker	TNFRSF14	TNFRSF1B	MMP9	EPHB4	IL2RA	TNFRSF11B	TFF3	CCL2	GRN	MEPE	HSPG2	LTBR	TIMP4	TREML2	FABP4	GDF15	DLK1	SPON1	CXCL16	RETN	IGFBP1	AXL	IL1R1	FAS	MB	PLAUR	SPP1	PGLYRP1	CPA1	LGALS4	SIRPA	CCL15	CPB1	CHI3L1	IL1RL1	SCGB3A2	IGFBP7	CD93	IL18BP	COL1A1	CTSZ	MMP3	PDGFA	IGFBP2	NPPA	CCL16	ANGPT1	ADM	SLAMF7	PGF	IL4R	TNFRSF10A	TNFRSF11A	F2R	TNFRSF10B	PRSS27	F3	PDGFB	LGALS9	FGF21	AGER	FGF23	REN	HAVCR1	THBD	VSIG2	PRELP	XCL1	IL16	CEACAM8	PTX3	CCL3	MMP7	DCN	AGRP	FABP6	NPPB	MMP12	ACE2	PDCD1LG2	CTSL	TNFRSF13B	TGM2	CA5A	CD4	GLB1	CNTNAP2	PRDX1	ITGA6	CDSN	LILRB4	KRT19	ITM2A	HNMT	MILR1	NF2	PLXNA4	CKAP4	CLEC4D	TREM1	CXADR	PIK3AP1	FAM3B	NCR1	LAMP3	CLEC7A	CLEC6A	IL12RB1	LAG3	CD83	BTN3A2	VEGFA	MSLN	TNFSF13	EGF	TNFRSF6B	SDC1	TGFBR2	IFNGR1	KLK11	GPC1	TFPI2	KLK8	S100A4	IGF1R	TGFA	FADD	NECTIN4	EPHA2	CA9	CTSV	CD27	ADAM8	DLL1	MDK	VIM	TNFRSF19	TCL1A	CD160	TNFRSF4	CCN4	CXCL17	PPY	ESM1	CD207	WFDC2	CXCL13	ADAMTS15	RSPO3	MUC16	FCRLB	FOLR1	IL6	AREG																	
Heart Failure and ID	Iron deficiency anemia	34816550	PubMed	Differentially expressed ID marker {gene}	prognostic_biomarker	LDLR	GDF15	SPP1	CASP3	IL1RL1	PON3	PDGFA	IGFBP2	NPPA	TFRC	BMP6	ANGPT1	ADM	CD40LG	PDGFB	FGF23	GH1	DECR1	PTX3	CCL17	NPPB	PPP1R9B	ITGA6	PLXNA4	EGF	TFPI2	CA9	HGF	MDK	PPY	ESM1	MUC16	IL6																																																																																																																																										
Heart Failure and IDA	Iron deficiency anemia	34816550	PubMed	Differentially expressed IDA marker {gene}	prognostic_biomarker	LDLR	ITGB2	TNFRSF1B	MMP9	IL2RA	TFF3	SELP	GDF15	ACP5	EPCAM	TNFSF13B	SPP1	CHI3L1	IL1RL1	PLAT	PON3	PDGFA	IGFBP2	NPPA	TFRC	BMP6	ANGPT1	ADM	IL4R	TNFRSF10B	PDGFB	IL27	CBLIF	FGF21	FGF23	GH1	GLO1	SERPINA12	PTX3	CCL17	FCGR2B	DKK1	AGRP	HBEGF	FABP2	NPPB	CTSL	TGM2	LEP	PARP1	PPP1R9B	GLB1	EDAR	CLEC4A	PRDX1	ITGA6	LILRB4	CKAP4	PIK3AP1	RIGI	ITGA11	EGF	TNFRSF6B	SDC1	TNFSF10	TFPI2	S100A4	CTSV	HGF	MDK	TCL1A	CCN4	PPY	WFDC2	CXCL13	RSPO3	MUC16	GZMB	FCRLB	IL6	KITLG	AREG																																																																																														
Heart Failure and CRAIDS	Iron deficiency anemia	34816550	PubMed	Differentially expressed CRAIDS marker {gene}	prognostic_biomarker	TNFRSF14	LDLR	TNFRSF1B	EPHB4	IL2RA	TNFRSF11B	TFF3	CD163	GRN	MEPE	HSPG2	LTBR	TIMP4	TREML2	FABP4	TNFRSF10C	GDF15	DLK1	SPON1	CXCL16	RETN	IGFBP1	AXL	IL1R1	FAS	MB	TNFSF13B	PLAUR	SPP1	PGLYRP1	CPA1	LGALS4	SIRPA	CCL15	CPB1	CHI3L1	IL1RL1	SCGB3A2	IGFBP7	CD93	IL18BP	COL1A1	PON3	CTSZ	MMP3	RARRES2	ICAM2	PDGFA	IGFBP2	NPPA	CCL16	TFRC	BMP6	ANGPT1	ADM	SLAMF7	PGF	IL4R	IL1RN	TNFRSF10A	TNFRSF11A	F2R	TNFRSF10B	F3	PDGFB	IL27	LGALS9	FGF21	AGER	FGF23	GH1	REN	HAVCR1	THBD	VSIG2	PRELP	XCL1	IL16	CEACAM8	PTX3	CCL3	MMP7	FCGR2B	DCN	AGRP	FABP6	NPPB	MMP12	PDCD1LG2	CTSL	TNFRSF13B	TGM2	CA5A	CD4	HAO1	GLB1	PSIP1	CLEC4G	ITGA6	CDSN	LILRB4	KRT19	ITM2A	HNMT	MILR1	NF2	PLXNA4	CKAP4	CLEC4D	TREM1	CXADR	IL10	KLRD1	PIK3AP1	STC1	FAM3B	NCR1	LAMP3	CLEC7A	CLEC6A	IL12RB1	LAG3	CD83	BTN3A2	VEGFA	MSLN	TNFSF13	EGF	TNFRSF6B	SDC1	TGFBR2	CD48	IFNGR1	KLK11	GPC1	TFPI2	KLK8	IGF1R	TGFA	NECTIN4	EPHA2	CA9	CTSV	CD27	XPNPEP2	HGF	ADAM8	DLL1	MDK	ABL1	VIM	TNFRSF19	TCL1A	CD160	TNFRSF4	CCN4	CXCL17	PPY	ESM1	WFDC2	CXCL13	ADAMTS15	CD70	RSPO3	MUC16	WIF1	GZMB	FCRLB	FOLR1	IL6	AREG
Heart Failure and Anemia	Anemia	34816550	PubMed	Differentially expressed Anemia marker {gene}	prognostic_biomarker	MMP9	PDGFA	ANGPT1	CD40LG	PDGFB	GLO1	DKK1	HBEGF	TGM2	PPP1R9B	GLB1	IRAK4	HCLS1	EDAR	IRAK1	PRDX1	PRDX5	ITGA6	TRIM21	NF2	PLXNA4	SH2B3	PIK3AP1	ICA1	DAPP1	EGF	S100A4	FADD	METAP2	CDKN1A	LYN	GZMB																																																																																																																																											
Heart Failure and CRIDS	Iron deficiency anemia	34816550	PubMed	Differentially expressed CRIDS marker {gene}	prognostic_biomarker	TNFRSF14	TNFRSF1B	EPHB4	IL2RA	TNFRSF11B	TFF3	MEPE	HSPG2	LTBR	NOTCH3	TIMP4	FABP4	GDF15	DLK1	SPON1	CXCL16	RETN	IGFBP1	AXL	IL1R1	MB	TNFSF13B	PLAUR	SPP1	PGLYRP1	CPA1	SIRPA	CCL15	CPB1	CHI3L1	IL1RL1	SCGB3A2	IGFBP7	CD93	IL18BP	COL1A1	PON3	MMP3	IGFBP2	NPPA	CCL16	TFRC	BMP6	ANGPT1	ADM	CD40LG	PGF	IL4R	TNFRSF10A	TNFRSF11A	F2R	TNFRSF10B	PDGFB	IL27	LGALS9	FGF21	AGER	FGF23	GH1	FST	HAVCR1	VSIG2	XCL1	CEACAM8	PTX3	CCL17	CCL3	FCGR2B	AGRP	NPPB	PDCD1LG2	CTSL	TNFRSF13B	CA5A	CD4	PSIP1	ITGA6	CDSN	LILRB4	KRT19	ITM2A	HNMT	MILR1	CKAP4	CLEC4D	TREM1	CXADR	FAM3B	NCR1	LAMP3	CLEC7A	CLEC6A	BTN3A2	VEGFA	MSLN	TNFSF13	EGF	TNFRSF6B	SDC1	TGFBR2	IFNGR1	KLK11	TFPI2	IGF1R	TGFA	NECTIN4	EPHA2	CA9	CD27	HGF	NT5E	DLL1	MDK	VIM	TNFRSF19	CD160	TNFRSF4	CCN4	CXCL17	PPY	ESM1	WFDC2	CXCL13	ADAMTS15	RSPO3	MUC16	WIF1	FCRLB	FOLR1	IL6	AREG																																								
Heart Failure and CKD	Chronic kidney disease	34816550	PubMed	Differentially expressed CKD marker {gene}	prognostic_biomarker	TNFRSF14	TNFRSF1B	EPHB4	IL2RA	TNFRSF11B	TFF3	MEPE	HSPG2	LTBR	TIMP4	TREML2	FABP4	GDF15	DLK1	CXCL16	RETN	IGFBP1	CHIT1	AXL	MB	PLAUR	SPP1	PGLYRP1	CPA1	LGALS4	SIRPA	CCL15	CPB1	CHI3L1	SCGB3A2	IGFBP7	CD93	IL18BP	CTSZ	MMP3	IGFBP2	NPPA	CCL16	ADM	PGF	IL4R	IL1RN	TNFRSF10A	TNFRSF11A	TNFRSF10B	FGF21	AGER	FGF23	HAVCR1	VSIG2	CEACAM8	MMP7	MMP12	TNFRSF13B	CD4	CDSN	LILRB4	KRT19	ITM2A	CKAP4	CLEC4D	TREM1	CXADR	FAM3B	NCR1	LAMP3	CLEC7A	CD83	BTN3A2	VEGFA	TNFRSF6B	SDC1	TGFBR2	IFNGR1	KLK11	TFPI2	TGFA	NECTIN4	EPHA2	CD27	DLL1	MDK	VIM	TNFRSF19	CD160	TNFRSF4	CCN4	PPY	WFDC2	CXCL13	ADAMTS15	RSPO3	FOLR1	IL6																																																																													
Novel Glioma Serum Biomarkers	Brain glioma	36959545	PubMed	Increased expression against meningioma {gene}	prognostic_biomarker	GFAP	NEFL	EDDM3B	PROK1	MMP3	CTRL	GP2	SPINT3																																																																																																																																																																			
Novel Glioma Serum Biomarkers	Brain glioma	36959545	PubMed	Decreased expression against meningioma {gene}	prognostic_biomarker	FABP4	ALDH3A1	IL12B	OXT																																																																																																																																																																							
Neurombiochemical analytes for fluoxetine response	Depressive Disorder	22113448	PubMed	Fluoxetine Response markers {gene}	prognostic_biomarker	GNB1	GFAP	S100B	HDAC5																																																																																																																																																																							
Prognostic Markers for Papillary Thyroid Cancer	Thyroid cancer	33345267	PubMed	Increased expression {gene}	prognostic_biomarker	GATA5	LRRN4CL	OGDHL	PSAT1	SLC25A47	TWIST2	CXCL10	ADGRG5	ASB2	DMBT1	GPR34	GZMK	GZMM	HTRA1	TBX21																																																																																																																																																												
Liver Disease Normal to CHB	Chronic Hepatitis B	37209815	PubMed	Normal to Chronic Hepatitis B panel biomarker {gene}	prognostic_biomarker	C7	ANPEP	IGLV319	IGLV140	QSOX1	IGLV327	A2M	IGHV551	IGHV434	IGKV41	SERPINA3	HABP2	LCAT	RBP4	F10	ORM1	C4BPB	PCYOX1	CFHR2	CPN1	F2																																																																																																																																																						
Liver Disease Normal to Liver Cirrhosis	Liver Cirrhosis	37209815	PubMed	Normal to Liver Cirrhosis panel biomarker {gene}	prognostic_biomarker	VWF	IGKV41	HSPG2	NRP1	C7	IGHV39	IGLV147	IGKV15	JCHAIN	LUM	PIGR	IGKV127	IGKV116	IGHV37	ICAM2	CD5L	TGFBI	IGLV327	IGFBP2	FBLN1	IGHV551	IGHV5101	IGHA1	LGALS3BP	FGG	KLKB1	CFB	F10	CPN2	APOC1	CLU	SERPIND1	C1S																																																																																																																																										
Liver Disease Normal to Hepatocellular Carcinoma	Hepatocellular Carcinoma	37209815	PubMed	Normal to Hepatocellular Carcinoma panel biomarker {gene}	prognostic_biomarker	ANPEP	IGKV41	VWF	TGFBI	LYVE1	PIGR	IGHV226	HSPG2	FUCA1	IGLV140	IGKV18	F12	PROZ	IGF1	F10	APOM	PLG	APOC1																																																																																																																																																									
Liver Disease Liver Cirrhosis vs Chronic Hepatitis B	Liver Cirrhosis	37209815	PubMed	Liver Cirrhosis vs Chronic Hepatitis B panel biomarker {gene}	prognostic_biomarker	IGKV41	HSPG2	IGHA1	NRP1	LUM	JCHAIN	IGFBP2	IGKV315	IGHV37	VWF	IGKV18	CD5L	CFI	CAMP	CLU	SPARC	PON3	THBS1	CPN2	APOA2	MASP2	FCN3	C3	GC	C4BPA	APOC1	PPBP	APOM	PLG																																																																																																																																														
Liver Disease Hepatocellular Carcinoma  vs Chronic Hepatitis B	Hepatocellular Carcinoma	37209815	PubMed	Hepatocellular Carcinoma  vs Chronic Hepatitis B panel biomarker {gene}	prognostic_biomarker	ITIH4	HSPG2	C9	C4B	IGFBP2	SERPINA1	SERPINA3	LUM	PROZ	CLU	PLG	PPBP	AFM	APOC1																																																																																																																																																													
Liver Disease Hepatocellular Carcinoma  vs Liver Cirrhosis	Hepatocellular Carcinoma	37209815	PubMed	Hepatocellular Carcinoma  vs Liver Cirrhosis panel biomarker {gene}	prognostic_biomarker	SERPIND1	CPB2	CPN2	RBP4	PLG	F13B	C4BPA	C4BPB	KLKB1	CPN1	C6	SERPINA10	HP	C5	SPARC	GC	F7	C3	SAA1	C2	AGT	APCS	APOM	C1RL	MCAM	FBLN1	IGKV41	CDH5	IGLV140	IGHV434	IGKV320	IGHV349	IGKV2D29	HSPG2	IGHV551	CD5L	JCHAIN	EFEMP1																																																																																																																																					
Psoriatic Arthritis Diagnosis Biomarkers	Psoriatic Arthritis	36289648	PubMed	Psoriatic Arthrithis Biomarker {gene}	diagnostic_biomarker	ADIPOQ	APOA1	APOB	CMC2	COL2A1	CCL1	CCL20	CCL7	CD5L	COMP	C9	CPN2	CRP	COL1A1	CX3CL1	CXCL10	CXCL12	CXCL2	CXCL5	DKK1	ESR1	FHL1	GSN	GPS1	HAT1	IFI16	IL12A	IL12B	IL9	IL17A	IL17C	IL17F	IL2	IL23	IL23R	IL3	IL33	IL34	EBI3	IL36A	IL1F10	IL6	CXCL8	INS	ISG20	ITGB5	KRT17	LEP	LGALS3BP	CSF1	MMP3	MPO	NOTCH2NLA	TNFRSF11B	POSTN	PTPA	PRL	TNFSF11	SETD2	IL2RA	IL2RB	IL2RG	SNCA	SRP14	SRPX	STAT3	STAT6	STIP1	SYK	TBX21	TNF	VCP	FLT4	CHI3L1																																																																																																	
Proximity Extension Assay	Heart disease	37963145	PubMed	Changes in Independent Blood Biomarker in Proximity Extension Assay of {gene}	diagnostic_biomarker, prognostic_biomarker	TNNT2	NPPB	CST3	KITLG	FGF23	HGF	HAVCR1	IL6	MMP12	REN	FIGF	TNFRSF10B	ADM	GDF15																																																																																																																																																													
NGS in SCLC 	Lung mixed small cell and squamous cell carcinoma	31476386	PubMed	Mutations and expression of {gene}	prognostic_biomarker	MGMT	MLH1	CD274	TLE3	TOP1	TYMS	TUBB3	ARID1A	BRCA1	CA9																																																																																																																																																																	
Cancer Stem Cells in Sarcomas	Osteosarcoma	37173919	PubMed	Cancer Stem Cell biomarker expression for {gene}	prognostic_biomarker	ALDH1A1	CD44	PTPRC	THY1	ENG	NANOG																																																																																																																																																																					
Lymph Node Metastasis in HNSCC	Head and neck squamous cell carcinoma	24212639	PubMed	Change in expression level of {gene}	prognostic_biomarker	MET	CEP55	NBN	BIRC5	RPS6KA3	CTTN	CD44	MMP9	MMP14																																																																																																																																																																		
Urinary Biomarkers	Chronic Kidney Disease	34136786	PubMed	2-fold higher level expression of {gene}	prognostic_biomarker	HAVCR1	IL18	LCN2	CLU	SPP1	A1M	B2M	CST3	TFF3	CCL2	EGF	CHI3L1	UMOD	ALB																																																																																																																																																													
EED Biomarkers	Gastrointestinal system disease	34825149	PubMed	Change in Concentration level of {gene} for enteric dysfunction	diagnostic_biomarker	SERPINA1	CRP	CIT	FABP2	MPO	REG1B	CD14																																																																																																																																																																				
Serum Inflammatory Biomarkers	Traumatic Brain Injury	35815027	PubMed	Neruological symptom association with {gene}	monitoring_biomarker	IL4	IL5	IL6	IL7	CXCL8	IL10	TNF	IL1B	IL12A																																																																																																																																																																		
Postoperative Delirium Prediction	Subacute delirium	36224337	PubMed	Increased expression levels of {gene}	prognostic_biomarker, monitoring_biomarker	PNFH	MMP9	SELP	PECAM1	IL6	PAI1																																																																																																																																																																					
Oncuria Bladder Cancer Detection	Bladder Cancer	33823873	PubMed	Oncuria urine test expression levels of {gene}	diagnostic_biomarker	MMP9	VEGFA	SDC1	APOE	CA9	ANG	MMP10	A1AT	PAI1	CXCL2																																																																																																																																																																	
Postpartum Depression Up Genes	Postpartum Depression	37892657	PubMed	Increased concentration of {gene}	prognostic_biomarker	CCL11	CCL2	CCL4	CCL5	CRP	CXCL8	IL17	IL18	IL1B	IL2	IL3	IL6	IL8	TGFB2	TNF																																																																																																																																																												
Postpartum Depression Down Genes	Postpartum Depression	37892657	PubMed	Decreased concentration of {gene}	prognostic_biomarker	BDNF	CCR2	CX3CL1	IL10	IL4	IFNG	TGFB1	TGFB3																																																																																																																																																																			
Diagnosis and prognosis of chronic periodontitis	Periodontitis	30922293	PubMed	Common biomarker candidate {gene}	prognostic_biomarker, diagnostic_biomarker	ALOX5	APOC1	ARHGDIB	BDNF	CCL19	CCR7	CSF3	CXCL12	CXCR4	CYGB	EIF4E	EREG	ESR1	IGH	IL1B	KDR	LCK	LCP1	LGALS1	LYVE1	MMP9	MS4A1	PAPPA	PDGFRB	PECAM1	PRKCB	PTPRC	SERPINA1	SFRP2	STRA6	TAGLN	TIMP4	TNFSF13B	TPM1	VIM																																																																																																																																								
Biomarkers with increased expression due to AD-related neuroinflammation	Alzheimer's Disease	36142483	PubMed	Increased expression due to AD-related neuroinflammation {gene}	prognostic_biomarker	TSPO	CHI3L1	ICAM1	GFAP	CCL2	S100B	TREM2	VCAM1																																																																																																																																																																			
Blood Biomarkers	Traumatic Brain Injury	30323770	PubMed	Blood biomarker panel {gene}	prognostic_biomarker	S100B	ENO2	MAPT	CSF1R	NRGN	VSNL1	BDNF	PRDX6	CCL2	MMP9	VWF																																																																																																																																																																
Mesothelioma Marker Genes	Malignant pleural mesothelioma	35127947	PubMed	Significant prognostic biomarker with external validation {gene}	prognostic_biomarker	SDC2	TCF7L1	POLR3D	CD38	CD1A	CYP3A4	HMGCL	ACAT2	CYP27A1	PLB1	DPYS	GAD1	LTC4S	PTGS1	BCAT1	BCKDHA	BCKDHB	ACTG1	ACTN1																																																																																																																																																								
Pancreatic Cancer Biomarkers	Pancreatic Cancer	29123261	PubMed	Pancreatic cancer panel {gene}	prognostic_biomarker	APOE	ITIH3	APOA1	APOL1																																																																																																																																																																							
Increased inflammatory markers for Atrial Septal Defect	Atrial Septal Defect	35979016	PubMed	Increased inflammatory markers {gene}	prognostic_biomarker	AXIN1	CASP8	CCL3	CCL4	CCL11	CCL23	CD40	CXCL1	CXCL6	CXCL11	DNER	GDNF	HGF	IL12B	CCL2	CCL8	CCL7	CCL13	MMP1	OSM	SIRT2	STAMBP	SULT1A1	TGFA	TGFB1	TNFSF14	TNFSF12	PLAU	VEGFA																																																																																																																																														
Cutaneous Leishmaniasis Biomarkers	Cutaneous Leishmaniasis	32601369	PubMed	Polyamine synthetic pathways biomarkers {gene}	prognostic_biomarker	ARG1	ODC1	SAT1	SMS	SRM	OAZ1	PAOX	CAT2A	CAT2B																																																																																																																																																																		
Prognostic Biomarkers For Better Survival in TSCC	Tongue Squamous Cell Carcinoma	35912229	PubMed	Better survival indication panel {gene}	prognostic_biomarker	PLXNB1	PITX1	N4BP3	SH2D4A	RALGPS1	NKX23	SIGIRR	PPFIBP2	LMF1	IL34	ZFP3	HLF	SLC25A23	FAM83E	SIM2																																																																																																																																																												
Prognostic Biomarkers For Poor Survival in TSCC	Tongue Squamous Cell Carcinoma	35912229	PubMed	Poor survival indication panel {gene}	prognostic_biomarker	ZNF281	MYO1B	BASP1	CSF2	DSE	GOPC	DCBLD1	KDELR2	FKBP14	INHBA	CALU	MSC	INTS8	MTDH	DERL1	NEK6	PLAU	SERPINH1	OAF	ITGA5	PXN	HSPH1	SNAPC1	ACTN1	SCG5	CMIP	AXL	PVR	MAP7D3																																																																																																																																														
